business_id,business_name,business_address,business_latitude,business_longitude,business_location,inspection_date,inspection_score,violation_id,violation_description,risk_category
59044,Taqueria Cazadores,1600 C Mission St,37.749851,-122.415121,POINT (-122.415121 37.749851),2018-01-22,78,59044_20180122_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2841,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",599 SKYLINE Blvd,37.708887,-122.497934,POINT (-122.497934 37.708887),2017-08-18,94,2841_20170818_103144,Unapproved or unmaintained equipment or utensils,Low Risk
3046,Mollie Stone's Grand Central Market,2435 CALIFORNIA St,37.788773,-122.434697,POINT (-122.434697 37.788773),2017-05-05,94,3046_20170505_103145,Improper storage of equipment utensils or linens,Low Risk
3838,CAFE PICARO,3120 16th St,37.764908,-122.422442,POINT (-122.422442 37.764908),2018-02-22,72,3838_20180222_103120,Moderate risk food holding temperature,Moderate Risk
2995,CAFE ROCCO,1131 FOLSOM St,37.776127,-122.408602,POINT (-122.408602 37.776127),2019-03-05,85,2995_20190305_103131,Moderate risk vermin infestation,Moderate Risk
38258,Hong Kong Bakery,4711 MISSION St,37.722898,-122.436086,POINT (-122.436086 37.722898),2019-01-08,68,38258_20190108_103114,High risk vermin infestation,High Risk
6636,STARBUCKS,1390 MARKET St,37.777053,-122.416939,POINT (-122.416939 37.777053),2018-04-17,88,6636_20180417_103161,Low risk vermin infestation,Low Risk
17947,Um Ma Son,5850 GEARY BLVD,37.780278,-122.482311,POINT (-122.482311 37.780278),2019-06-18,87,17947_20190618_103144,Unapproved or unmaintained equipment or utensils,Low Risk
30532,Roadhouse Cafe,5191 03rd St,37.730959,-122.39194,POINT (-122.39194 37.730959),2019-09-25,78,30532_20190925_103103,High risk food holding temperature,High Risk
786,Piperade,1015 Battery St,37.800674,-122.401484,POINT (-122.401484 37.800674),2019-09-06,90,786_20190906_103130,Inadequate sewage or wastewater disposal,Moderate Risk
63503,Mason Street Deli and Market,39 MASON,37.784094,-122.409274,POINT (-122.409274 37.784094),2018-06-04,96,63503_20180604_103154,Unclean or degraded floors walls or ceilings,Low Risk
1300,WE BE SUSHI,1071 VALENCIA St,37.755824,-122.420986,POINT (-122.420986 37.755824),2017-10-05,74,1300_20171005_103154,Unclean or degraded floors walls or ceilings,Low Risk
4608,Gourmet Kitchen,1051 Stockton St,37.795594,-122.408204,POINT (-122.408204 37.795594),2017-08-01,94,4608_20170801_103154,Unclean or degraded floors walls or ceilings,Low Risk
1742,McAllister Grocery & Deli,136 McAllister St,37.780916,-122.414312,POINT (-122.414312 37.780916),2017-02-14,83,1742_20170214_103150,Improper or defective plumbing,Low Risk
34411,Gabby's Market & Deli,201 Harrison St C,37.787808,-122.390703,POINT (-122.390703 37.787808),2019-09-13,98,34411_20190913_103139,Improper food storage,Low Risk
4844,SAFEWAY #909,730 TARAVAL,37.743191,-122.473903,POINT (-122.473903 37.743191),2017-08-29,94,4844_20170829_103120,Moderate risk food holding temperature,Moderate Risk
786,Piperade,1015 Battery St,37.800674,-122.401484,POINT (-122.401484 37.800674),2019-02-15,96,786_20190215_103150,Improper or defective plumbing,Low Risk
985,The Sunset's Best Seafood Restaurant,3060 TARAVAL St,37.742048,-122.499002,POINT (-122.499002 37.742048),2018-09-24,75,985_20180924_103133,Foods not protected from contamination,Moderate Risk
58745,San Francisco Tennis Club,645 05th St,37.776109,-122.398082,POINT (-122.398082 37.776109),2017-01-12,85,58745_20170112_103109,Unclean or unsanitary food contact surfaces,High Risk
2919,OMNI S.F. Hotel - Restaurant & Bar,"500 California St, 1st Floor",37.792888,-122.403135,POINT (-122.403135 37.792888),2019-05-01,94,2919_20190501_103150,Improper or defective plumbing,Low Risk
3006,Local Roots Leidesdorff,70 Leidesdorff St,37.791275,-122.40201,POINT (-122.40201 37.791275),2017-10-26,90,3006_20171026_103120,Moderate risk food holding temperature,Moderate Risk
557,TASTEBUDS,600 05th Ave,37.77721,-122.462874,POINT (-122.462874 37.77721),2018-09-05,83,557_20180905_103109,Unclean or unsanitary food contact surfaces,High Risk
6677,SNACK & BOTTLE SHOP,644 PERSIA Ave,37.720524,-122.430562,POINT (-122.430562 37.720524),2017-07-11,94,6677_20170711_103150,Improper or defective plumbing,Low Risk
1664,PANDA EXPRESS,865 MARKET St C24,37.784317,-122.407563,POINT (-122.407563 37.784317),2019-08-22,96,1664_20190822_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
3796,Johnny Foley's Irish House,243 O'Farrell St,37.786314,-122.408697,POINT (-122.408697 37.786314),2017-04-17,90,3796_20170417_103148,No thermometers or uncalibrated thermometers,Low Risk
61514,Foods Co #357,1800 FOLSOM St,37.767907,-122.415584,POINT (-122.415584 37.767907),2018-04-25,88,61514_20180425_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
6739,Jamie Supermarket,1135 Stockton St,37.796303,-122.408354,POINT (-122.408354 37.796303),2016-12-20,86,6739_20161220_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5267,Knights Catering,255 MENDELL STREET,37.741939,-122.383872,POINT (-122.383872 37.741939),2019-07-17,96,5267_20190717_103145,Improper storage of equipment utensils or linens,Low Risk
1582,Caffe Bianco,39 Sutter St,37.790102,-122.401158,POINT (-122.401158 37.790102),2017-11-28,79,1582_20171128_103105,Improper cooling methods,High Risk
32671,La Taqueria Guadalajara,3146 24th St,37.752512,-122.415109,POINT (-122.415109 37.752512),2018-05-08,75,32671_20180508_103133,Foods not protected from contamination,Moderate Risk
58922,Naples Pizzarella,1192 GENEVA Ave,37.714324,-122.436512,POINT (-122.436512 37.714324),2017-09-13,94,58922_20170913_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
3165,HAN IL KWAN,1802 BALBOA St,37.776599,-122.478292,POINT (-122.478292 37.776599),2018-11-27,83,3165_20181127_103144,Unapproved or unmaintained equipment or utensils,Low Risk
33160,Mission Bay Cafe,550 Terry Francois St,37.770518,-122.386525,POINT (-122.386525 37.770518),2016-12-05,94,33160_20161205_103120,Moderate risk food holding temperature,Moderate Risk
2145,FRINGALE,570 04th St,37.778657,-122.397009,POINT (-122.397009 37.778657),2018-05-17,87,2145_20180517_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
8948,SEGAFREDO,33 Powell St,37.784858,-122.407764,POINT (-122.407764 37.784858),2018-02-08,88,8948_20180208_103144,Unapproved or unmaintained equipment or utensils,Low Risk
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,37.755693,-122.40665,POINT (-122.40665 37.755693),2019-05-09,81,2334_20190509_103157,Food safety certificate or food handler card not available,Low Risk
57698,China Fun Express,211 Kearny St,37.790055,-122.403915,POINT (-122.403915 37.790055),2019-08-29,87,57698_20190829_103161,Low risk vermin infestation,Low Risk
943,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,37.768776,-122.429095,POINT (-122.429095 37.768776),2018-04-26,76,943_20180426_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,37.752118,-122.422914,POINT (-122.422914 37.752118),2017-08-15,88,4874_20170815_103142,Unclean nonfood contact surfaces,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,37.784848,-122.406892,POINT (-122.406892 37.784848),2019-02-06,73,59577_20190206_103105,Improper cooling methods,High Risk
884,House of Nanking,919 Kearny St,37.796463,-122.405224,POINT (-122.405224 37.796463),2016-10-05,83,884_20161005_103139,Improper food storage,Low Risk
2336,Ristorante Ti Piacera,1507 Polk St,37.790645,-122.420765,POINT (-122.420765 37.790645),2018-02-27,86,2336_20180227_103125,Noncompliance with shell fish tags or display,Moderate Risk
1426,SWEET DELIGHT BAKERY,4476A MISSION,37.726117,-122.433817,POINT (-122.433817 37.726117),2016-10-26,70,1426_20161026_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
5144,POPEYES CHICKEN & BISCUIT,599 DIVISADERO St,37.774873,-122.437804,POINT (-122.437804 37.774873),2017-06-01,90,5144_20170601_103150,Improper or defective plumbing,Low Risk
38798,K's Kitchen,757 Monterey Blvd,37.731503,-122.45237,POINT (-122.45237 37.731503),2017-09-28,94,38798_20170928_103150,Improper or defective plumbing,Low Risk
5838,HARVEY MILK ELEMENTARY SCHOOL,4235 19th St,37.759173,-122.436488,POINT (-122.436488 37.759173),2019-09-25,93,5838_20190925_103112,No hot water or running water,High Risk
488,The House,1230 Grant Ave,37.798519,-122.407071,POINT (-122.407071 37.798519),2018-01-16,92,488_20180116_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
59988,The Little Chihuahua,292 Divisadero St,37.771987,-122.437147,POINT (-122.437147 37.771987),2019-04-24,84,59988_20190424_103133,Foods not protected from contamination,Moderate Risk
64667,Jasmine Rae Bakery,1890 Bryant St #309,37.763156,-122.410351,POINT (-122.410351 37.763156),2019-09-10,92,64667_20190910_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
60331,Sunflower Potrero Hill,288 CONNECTICUT St,37.762647,-122.397545,POINT (-122.397545 37.762647),2017-01-24,71,60331_20170124_103142,Unclean nonfood contact surfaces,Low Risk
39776,Duc Loi Supermarket,2200 MISSION St,37.761637,-122.419385,POINT (-122.419385 37.761637),2019-04-22,65,39776_20190422_103142,Unclean nonfood contact surfaces,Low Risk
5124,PIZZA HUT #758280,728 GEARY St,37.786477,-122.415454,POINT (-122.415454 37.786477),2017-10-12,96,5124_20171012_103156,Permit license or inspection report not posted,Low Risk
64076,The Sycamore,2140 MISSION St,37.762789,-122.419495,POINT (-122.419495 37.762789),2017-11-06,86,64076_20171106_103154,Unclean or degraded floors walls or ceilings,Low Risk
2519,PACIFIC PLAZA CAFE,1340 FRANKLIN St,37.786864,-122.423218,POINT (-122.423218 37.786864),2019-07-09,90,2519_20190709_103139,Improper food storage,Low Risk
63121,Sodini's Restaurant,510 Green St,37.799697,-122.407614,POINT (-122.407614 37.799697),2019-06-05,86,63121_20190605_103161,Low risk vermin infestation,Low Risk
4416,Sweetie's,475 Francisco St,37.804685,-122.412971,POINT (-122.412971 37.804685),2017-10-12,94,4416_20171012_103145,Improper storage of equipment utensils or linens,Low Risk
63653,SFDH - Scala's Bistro Restaurant,450 Powell St 1st Floor,37.788918,-122.408507,POINT (-122.408507 37.788918),2019-09-04,83,63653_20190904_103105,Improper cooling methods,High Risk
32625,Korean Village Restaurant,4611 GEARY Blvd,37.780712,-122.4687,POINT (-122.4687 37.780712),2019-04-25,94,32625_20190425_103120,Moderate risk food holding temperature,Moderate Risk
2426,BOOGALOOS,3296 22nd St,37.755357,-122.420652,POINT (-122.420652 37.755357),2018-05-08,89,2426_20180508_103105,Improper cooling methods,High Risk
2234,Kam Lok Restaurant,834 Washington St,37.795118,-122.407083,POINT (-122.407083 37.795118),2019-01-07,72,2234_20190107_103120,Moderate risk food holding temperature,Moderate Risk
1075,"SANDWICH PLACE, THE",2029 MISSION St,37.764384,-122.419566,POINT (-122.419566 37.764384),2019-09-26,94,1075_20190926_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
63121,Sodini's Restaurant,510 Green St,37.799697,-122.407614,POINT (-122.407614 37.799697),2018-06-11,81,63121_20180611_103103,High risk food holding temperature,High Risk
2854,SANRAKU,101 04th St 1/F,37.784548,-122.40419,POINT (-122.40419 37.784548),2019-03-13,88,2854_20190313_103120,Moderate risk food holding temperature,Moderate Risk
13218,"LESLIE A. HENNESSY, INC.",545 02nd St,37.782504,-122.392843,POINT (-122.392843 37.782504),2017-08-29,85,13218_20170829_103131,Moderate risk vermin infestation,Moderate Risk
792,Boudin Bakery,Pier 39  Front,37.791924,-122.398588,POINT (-122.398588 37.791924),2019-06-26,96,792_20190626_103144,Unapproved or unmaintained equipment or utensils,Low Risk
38072,6001 California Market,6001 California St,37.783984,-122.481969,POINT (-122.481969 37.783984),2018-09-25,73,38072_20180925_103120,Moderate risk food holding temperature,Moderate Risk
7645,LUCKY PORK MARKET,2659 MISSION St,37.754513,-122.418626,POINT (-122.418626 37.754513),2016-12-30,90,7645_20161230_103139,Improper food storage,Low Risk
33442,Miller's East Coast Deli,1725 Polk St,37.792784,-122.421164,POINT (-122.421164 37.792784),2018-01-31,87,33442_20180131_103145,Improper storage of equipment utensils or linens,Low Risk
999,SERRANO'S PIZZA II,3274 21st St,37.756997,-122.420534,POINT (-122.420534 37.756997),2017-07-14,77,999_20170714_103142,Unclean nonfood contact surfaces,Low Risk
63413,Mymy,1500 California St,37.790798,-122.419214,POINT (-122.419214 37.790798),2017-02-02,94,63413_20170202_103143,Inadequate warewashing facilities or equipment,Low Risk
35805,Hard Knox Cafe,2448 Clement,37.782008,-122.485732,POINT (-122.485732 37.782008),2019-06-19,83,35805_20190619_103120,Moderate risk food holding temperature,Moderate Risk
61285,Cocola,3251 20th Ave 186,37.728497,-122.475639,POINT (-122.475639 37.728497),2019-03-22,91,61285_20190322_103103,High risk food holding temperature,High Risk
1243,JAVA SUPREME,0703 GUERRERO St,37.759934,-122.423553,POINT (-122.423553 37.759934),2017-10-12,87,1243_20171012_103114,High risk vermin infestation,High Risk
3495,Ryoko's,619 Taylor St,37.788134,-122.411817,POINT (-122.411817 37.788134),2019-06-26,90,3495_20190626_103162,Other low risk violation,Low Risk
2893,FOREIGN CINEMA,2534 MISSION St,37.756417,-122.418884,POINT (-122.418884 37.756417),2017-09-19,86,2893_20170919_103161,Low risk vermin infestation,Low Risk
2233,The AA Bakery & Cafe,1068 Stockton St,37.795564,-122.40809,POINT (-122.40809 37.795564),2019-07-08,81,2233_20190708_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
827,TAQUERIA EL FAROLITO NO. 2,4817 MISSION St,37.721251,-122.437385,POINT (-122.437385 37.721251),2017-03-02,84,827_20170302_103109,Unclean or unsanitary food contact surfaces,High Risk
37688,Peet's Coffee & Tea,370 04th St,37.781127,-122.400109,POINT (-122.400109 37.781127),2019-06-04,94,37688_20190604_103154,Unclean or degraded floors walls or ceilings,Low Risk
3858,HUNAN RESTAURANT,110 NATOMA St,37.786944,-122.399199,POINT (-122.399199 37.786944),2018-05-01,92,3858_20180501_103148,No thermometers or uncalibrated thermometers,Low Risk
7661,DONA TERE'S MARKET,2780 21st St,37.757578,-122.410392,POINT (-122.410392 37.757578),2017-07-19,92,7661_20170719_103142,Unclean nonfood contact surfaces,Low Risk
57630,The Dry Dock,2118 Greenwich St,37.799048,-122.435353,POINT (-122.435353 37.799048),2018-02-09,96,57630_20180209_103156,Permit license or inspection report not posted,Low Risk
2836,Hard Rock Cafe,Pier 39  Building Q1,37.80824,-122.410189,POINT (-122.410189 37.80824),2018-06-12,92,2836_20180612_103145,Improper storage of equipment utensils or linens,Low Risk
3267,The Olive Garden Italian,3251 20th Ave,37.728497,-122.475639,POINT (-122.475639 37.728497),2018-05-10,83,3267_20180510_103144,Unapproved or unmaintained equipment or utensils,Low Risk
403,HAAGEN-DAZS #561,865 MARKET St,37.784317,-122.407563,POINT (-122.407563 37.784317),2018-04-30,94,403_20180430_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
35591,The Monk's Kettle,3141 16TH St,37.764814,-122.422979,POINT (-122.422979 37.764814),2018-01-09,87,35591_20180109_103161,Low risk vermin infestation,Low Risk
4672,IRVING SEAFOOD MARKET,2130 IRVING St,37.763428,-122.480921,POINT (-122.480921 37.763428),2017-11-20,84,4672_20171120_103120,Moderate risk food holding temperature,Moderate Risk
2156,GOAT HILL PIZZA,300 CONNECTICUT St,37.762367,-122.397515,POINT (-122.397515 37.762367),2017-11-21,90,2156_20171121_103120,Moderate risk food holding temperature,Moderate Risk
63757,Ajisen Ramen,865 Market St #STC-12,37.784317,-122.407563,POINT (-122.407563 37.784317),2018-01-08,80,63757_20180108_103112,No hot water or running water,High Risk
2743,NOAH'S NEW YORK BAGELS #2147,2300 16 th St,37.765708,-122.409002,POINT (-122.409002 37.765708),2019-01-11,96,2743_20190111_103154,Unclean or degraded floors walls or ceilings,Low Risk
7493,MR. PICKLE'S SANDWICH SHOP,3380 20th St,37.758817,-122.416522,POINT (-122.416522 37.758817),2017-05-17,85,7493_20170517_103156,Permit license or inspection report not posted,Low Risk
3272,Cigar Bar and Grill,850 Montgomery St,37.797137,-122.403586,POINT (-122.403586 37.797137),2019-04-30,92,3272_20190430_103144,Unapproved or unmaintained equipment or utensils,Low Risk
34221,"Campton Place SF, A Taj Hotel-Restaurant",340 Stockton St,37.789128,-122.406847,POINT (-122.406847 37.789128),2018-05-01,89,34221_20180501_103103,High risk food holding temperature,High Risk
59828,Tip Top Market,84 Turk St,37.783268,-122.410553,POINT (-122.410553 37.783268),2019-08-20,55,59828_20190820_103118,Employee eating or smoking,Moderate Risk
5854,Gateway High/Kip Schools,1430 Scott St,37.783427,-122.437747,POINT (-122.437747 37.783427),2018-02-27,98,5854_20180227_103144,Unapproved or unmaintained equipment or utensils,Low Risk
2933,Castagnola's Restaurant,286 Jefferson St,37.808098,-122.417194,POINT (-122.417194 37.808098),2018-02-08,79,2933_20180208_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
64835,Jane,2123 Fillmore St,37.789404,-122.433954,POINT (-122.433954 37.789404),2016-10-24,84,64835_20161024_103120,Moderate risk food holding temperature,Moderate Risk
3578,Neiman Marcus - Rotunda,150 Stockton St,37.787108,-122.406409,POINT (-122.406409 37.787108),2017-03-22,96,3578_20170322_103120,Moderate risk food holding temperature,Moderate Risk
61056,Town School For Boys,2750 JACKSON St,37.791777,-122.440355,POINT (-122.440355 37.791777),2017-09-05,92,61056_20170905_103139,Improper food storage,Low Risk
1579,Nick's Lighthouse,Foot of Taylor St 5,37.802479,-122.411234,POINT (-122.411234 37.802479),2017-12-11,92,1579_20171211_103142,Unclean nonfood contact surfaces,Low Risk
36589,Catering With Style,2800 BRYANT St,37.749603,-122.408928,POINT (-122.408928 37.749603),2018-06-04,67,36589_20180604_103132,Improper thawing methods,Moderate Risk
64154,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,37.794457,-122.407896,POINT (-122.407896 37.794457),2017-11-09,86,64154_20171109_103120,Moderate risk food holding temperature,Moderate Risk
62277,Tacos San Buena,16th & Shotwell St,37.779847,-122.418985,POINT (-122.418985 37.779847),2018-02-21,87,62277_20180221_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
2292,ORIENTAL SEAFOOD RESTAURANT,2520 NORIEGA St,37.753638,-122.490712,POINT (-122.490712 37.753638),2016-11-30,79,2292_20161130_103120,Moderate risk food holding temperature,Moderate Risk
3190,NORIEGA TERIYAKI HOUSE,1755 NORIEGA St,37.753953,-122.482629,POINT (-122.482629 37.753953),2019-01-10,70,3190_20190110_103142,Unclean nonfood contact surfaces,Low Risk
552,Loi's Vietnamese Restaurant,2228 Irving St,37.763428,-122.481736,POINT (-122.481736 37.763428),2017-08-15,81,552_20170815_103139,Improper food storage,Low Risk
3082,ONE MARKET RESTAURANT,1 MARKET St,37.794347,-122.394932,POINT (-122.394932 37.794347),2018-01-24,90,3082_20180124_103161,Low risk vermin infestation,Low Risk
32872,Matador,679 Sutter St,37.788823,-122.411507,POINT (-122.411507 37.788823),2017-02-09,80,32872_20170209_103133,Foods not protected from contamination,Moderate Risk
874,Pancho's Salsa Bar & Grill,1639 Polk St,37.792093,-122.421024,POINT (-122.421024 37.792093),2017-09-08,85,874_20170908_103154,Unclean or degraded floors walls or ceilings,Low Risk
32919,New Princess Market,500 Eddy St,37.783559,-122.41595,POINT (-122.41595 37.783559),2018-05-01,70,32919_20180501_103108,Contaminated or adulterated food,High Risk
3738,CINDERELLA BAKERY & CAFE,0436 BALBOA St,37.777299,-122.463353,POINT (-122.463353 37.777299),2019-03-12,87,3738_20190312_103102,Unclean hands or improper use of gloves,High Risk
32925,Papalote,3409 24th St,37.752073,-122.420939,POINT (-122.420939 37.752073),2017-08-10,78,32925_20170810_103114,High risk vermin infestation,High Risk
4777,SOUTH BEACH CAFE,800 EMBARCADERO St,37.781556,-122.388484,POINT (-122.388484 37.781556),2019-02-12,92,4777_20190212_103161,Low risk vermin infestation,Low Risk
63169,Grand Coffee,2663 Mission St,37.754383,-122.418616,POINT (-122.418616 37.754383),2018-07-17,88,63169_20180717_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
18767,Wonderful Dessert & Cafe,2035 IRVING St,37.763399,-122.479654,POINT (-122.479654 37.763399),2017-09-06,86,18767_20170906_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
268,LOS HERMANOS,2026 CHESTNUT St,37.800767,-122.436924,POINT (-122.436924 37.800767),2019-08-13,82,268_20190813_103108,Contaminated or adulterated food,High Risk
2737,CAFFE' ROMA,885 Bryant St,37.774677,-122.404222,POINT (-122.404222 37.774677),2017-07-25,90,2737_20170725_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5796,APTOS MIDDLE SCHOOL,105 APTOS Ave,37.730198,-122.466238,POINT (-122.466238 37.730198),2017-08-25,98,5796_20170825_103139,Improper food storage,Low Risk
7087,VALENCIA FARMER'S MARKET,1299 VALENCIA St,37.752162,-122.420585,POINT (-122.420585 37.752162),2018-03-08,87,7087_20180308_103103,High risk food holding temperature,High Risk
1619,BENDERS BAR & GRILL,800-806 SOUTH VAN NESS Ave,37.76031,-122.417123,POINT (-122.417123 37.76031),2018-04-03,90,1619_20180403_103161,Low risk vermin infestation,Low Risk
